Mosaic										|				|		|		|			|
Motos										|				|		|		|			|
Mouse Shooter Gogo							|				|		|		|			|
Mouse Trap									|				|		|		|			|
Mr. Do vs. Unicorns							|				|	y	| 0.78	|			| douni
Mr. Do!										|				|	y	| 0.78	|			| mrdo, mrdofix, mrdot
Mr. Do's Castle								|				|	y	| 0.78	|			| docastlo, docastle, docastl2
Mr. Do's Wild Ride							|				|	y	| 0.78	|			| dowild
Mr. Driller									|				|		|		|			|
Ms. Pac Man									|				|	y	| 0.78	|			| mspacman
Ms. Pac Man	Plus							|				|	y	| 0.78	|			| mspacpls
Ms. Pacman Champion Edition					|				|	y	| 0.78	|			| mschamp
Muchi Muchi Pork!							|				|		|		|			|
Mushihime Sama								|				|		|		|			|
Mushihime Sama Futari Ver 1.5				|				|		|		|			|
Mutation Nation   							|				|		|		|			|
Mystic Riders								|				|		|		|			|
